epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.699,1.28493,1.24956,0.87684,0.7192,0.50981,0.58065,0.42101,1.26579,1.44712,0.86019,0.000277342,0.000277342,0.000277342
2,463.943,1.26918,1.14299,0.86975,0.70848,0.51374,0.59258,0.43297,1.25381,1.41293,0.85075,0.000544019,0.000544019,0.000544019
3,760.234,1.24293,1.08078,0.86644,0.7443,0.5219,0.60291,0.43554,1.23988,1.54314,0.85085,0.000799701,0.000799701,0.000799701
4,975.618,1.20822,0.98251,0.86113,0.79184,0.54448,0.6328,0.45997,1.21521,1.41723,0.84536,0.00078352,0.00078352,0.00078352
5,1191.87,1.19036,0.93417,0.85845,0.77671,0.56878,0.63022,0.4673,1.17765,1.36367,0.83732,0.000767026,0.000767026,0.000767026
6,1410.39,1.20093,0.91639,0.85591,0.77386,0.57169,0.64198,0.47616,1.19117,1.44355,0.84339,0.000750533,0.000750533,0.000750533
7,1627,1.16325,0.87633,0.85098,0.78198,0.5735,0.65317,0.48061,1.16742,1.41687,0.83485,0.00073404,0.00073404,0.00073404
8,1906.33,1.15944,0.88084,0.84824,0.79772,0.57505,0.65922,0.473,1.19505,1.2973,0.83414,0.000717546,0.000717546,0.000717546
9,2552.96,1.13289,0.8296,0.84557,0.80665,0.57673,0.66195,0.49883,1.13326,1.35514,0.83387,0.000701053,0.000701053,0.000701053
10,3218.79,1.10717,0.81622,0.84353,0.76552,0.58389,0.65025,0.48652,1.1474,1.39581,0.83361,0.000684559,0.000684559,0.000684559
11,3817.21,1.11511,0.81796,0.84676,0.72426,0.58349,0.66829,0.49778,1.11634,1.36383,0.8322,0.000668066,0.000668066,0.000668066
12,4035.9,1.09844,0.79254,0.84454,0.77985,0.58817,0.67315,0.49512,1.18628,1.36957,0.83296,0.000651573,0.000651573,0.000651573
13,4460.86,1.08547,0.77733,0.84157,0.72083,0.60432,0.66902,0.50937,1.09687,1.35291,0.829,0.000635079,0.000635079,0.000635079
14,5086.34,1.07203,0.76576,0.84152,0.73641,0.60877,0.67672,0.50117,1.12225,1.21881,0.8286,0.000618586,0.000618586,0.000618586
15,5607.91,1.08615,0.75372,0.83776,0.7478,0.61289,0.68338,0.51559,1.10145,1.23703,0.82505,0.000602092,0.000602092,0.000602092
16,6164,1.06532,0.72778,0.83696,0.72925,0.60114,0.67947,0.51607,1.0742,1.30146,0.8253,0.000585599,0.000585599,0.000585599
17,6726.25,1.06082,0.72409,0.83696,0.87458,0.60743,0.68225,0.52485,1.06006,1.3469,0.82294,0.000569106,0.000569106,0.000569106
18,7390.89,1.05084,0.70699,0.8324,0.87709,0.61311,0.68102,0.52137,1.06868,1.26624,0.82191,0.000552612,0.000552612,0.000552612
19,7931.75,1.03919,0.70111,0.83521,0.86134,0.60483,0.67393,0.5093,1.12114,1.35149,0.82587,0.000536119,0.000536119,0.000536119
20,8147.07,1.02659,0.69814,0.83317,0.78369,0.60432,0.67992,0.51877,1.08533,1.43157,0.82477,0.000519625,0.000519625,0.000519625
21,8406.66,1.02652,0.69335,0.83133,0.86963,0.62346,0.68591,0.52848,1.04727,1.31491,0.82099,0.000503132,0.000503132,0.000503132
22,8623.89,1.01982,0.6918,0.83063,0.86593,0.60962,0.68274,0.52318,1.06554,1.30086,0.82284,0.000486639,0.000486639,0.000486639
23,8865.66,1.02768,0.68277,0.83028,0.86101,0.62864,0.69157,0.53389,1.04466,1.30163,0.81927,0.000470145,0.000470145,0.000470145
24,9172.5,1.00711,0.67058,0.8308,0.92029,0.60563,0.69703,0.53189,1.04684,1.29047,0.82005,0.000453652,0.000453652,0.000453652
25,9896.77,1.00514,0.65953,0.82857,0.90358,0.62153,0.68946,0.53101,1.06521,1.33778,0.82184,0.000437158,0.000437158,0.000437158
26,10251,0.99804,0.65357,0.82952,0.88052,0.62455,0.69512,0.53957,1.04113,1.33478,0.81862,0.000420665,0.000420665,0.000420665
27,10479.8,1.00625,0.65684,0.83122,0.89142,0.63114,0.7083,0.54573,1.03095,1.18892,0.81768,0.000404172,0.000404172,0.000404172
28,10702.9,0.9999,0.64858,0.82775,0.90843,0.62294,0.69854,0.54354,1.01969,1.24822,0.81574,0.000387678,0.000387678,0.000387678
29,10918,0.99412,0.6395,0.82592,0.88432,0.63182,0.69772,0.53863,1.04195,1.33587,0.8187,0.000371185,0.000371185,0.000371185
30,11132.6,0.9759,0.62643,0.8263,0.88653,0.63477,0.6985,0.53954,1.02773,1.3385,0.81707,0.000354691,0.000354691,0.000354691
31,11339.9,0.97356,0.63556,0.82934,0.90589,0.62829,0.70189,0.5417,1.03591,1.34752,0.8196,0.000338198,0.000338198,0.000338198
32,11553.8,0.96649,0.62908,0.82742,0.89019,0.6347,0.70482,0.54022,1.01886,1.25224,0.81646,0.000321705,0.000321705,0.000321705
